,Название,Сайт,status,Адрес,площадь объекта,coords,longitude,latitude,rating,Класс:
966, БЦ Березовая Аллея,https://www.arendator.ru/objects/9162-berezovaya_alleya-1/,torg_office_cntr,"г. Москва, Зеленоград, Матушкино, Березовая аллея 5А",20038.0,"[55.9958787, 37.2032196]",37.2032196,55.9958787,50.0,B+
967, БЦ Комплект,https://www.arendator.ru/objects/9408-komplekt-1/,torg_office_cntr,"г. Москва, ЮАО, Москворечье-Сабурово, Кантемировская улица 58",44000.0,"[55.6392719, 37.6455646]",37.6455646,55.6392719,50.0,B
968, Офисное здание Демидов Двор,https://www.arendator.ru/objects/8639-demidov_dvor/,torg_office_cntr,"г. Москва, Демидовский Б. переулок 12",6280.0,"[55.766292, 37.676764]",37.676764,55.766292,50.0,A
969, Коворкинг Калпа Врикша,https://www.arendator.ru/objects/32916-kalpa_vriksha/,torg_office_cntr,"г. Москва, ЮАО, Нагорный, Электролитный проезд 3с2",,"[55.6731265, 37.6189526]",37.6189526,55.6731265,50.0,
970, БЦ Ореол,https://www.arendator.ru/objects/9256-oreol/,torg_office_cntr,"г. Москва, САО, Тимирязевский, Тимирязевская улица 1 стр.3",13000.0,"[55.806922, 37.5687559]",37.5687559,55.806922,50.0,B
971, БЦ ИТКОЛ-Владыкино,https://www.arendator.ru/objects/32546-itkol-vladykino/,torg_office_cntr,"г. Москва, СВАО, Марфино, Гостиничная улица 5",8410.0,"[55.84354, 37.579683]",37.579683,55.84354,50.0,B+
972, Технопарк Темп,https://www.arendator.ru/objects/32472-temp/,torg_office_cntr,"г. Москва, ЮАО, Царицыно, Кавказский бульвар 59",36200.0,"[55.6288407, 37.6298408]",37.6298408,55.6288407,50.0,
973, БЦ Helios Country,https://www.arendator.ru/objects/8476-helios_country/,torg_office_cntr,"г. Химки (Московская обл), Репина улица 34",13450.0,"[55.9038909, 37.4269721]",37.4269721,55.9038909,50.0,B+
974, Коворкинг Коворкафе,https://www.arendator.ru/objects/32869-kovorkafe/,torg_office_cntr,"г. Москва, СВАО, Бутырский, Новодмитровская Б. улица 36с2",,"[55.8049021, 37.5850242]",37.5850242,55.8049021,50.0,
975, Коворкинг Time Club Re: Форма,https://www.arendator.ru/objects/32805-time_club_re_forma/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Георгиевский переулок 1с3",,"[55.75902, 37.613307]",37.613307,55.75902,50.0,
976, Особняк Большая Дмитровка д.10 стр.4,https://www.arendator.ru/objects/7262-bolshaya_dmitrovka_d10_str4/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Дмитровка Б. улица 10/4",1875.0,"[55.7612997, 37.6149729]",37.6149729,55.7612997,50.0,
977, Офисное здание Особняк на Мясницкой,https://www.arendator.ru/objects/7544-osobnyak_na_myasnickoj/,torg_office_cntr,"г. Москва, ЦАО, Красносельский, Мясницкая улица 46/2",1300.0,"[55.76796650000001, 37.64431829999999]",37.64431829999999,55.76796650000001,50.0,A
978, Бизнес-парк Аврора,https://www.arendator.ru/objects/9411-avrora-3/,torg_office_cntr,"г. Москва, ЦАО, Замоскворечье, Садовническая улица 82 стр.2",67000.0,"[55.7349123, 37.6423318]",37.6423318,55.7349123,50.0,A
979, БЦ Владыкинский,https://www.arendator.ru/objects/8975-vladykinskij/,torg_office_cntr,"г. Москва, СВАО, Марфино, Ботаническая улица 10Д стр.1",2098.0,"[55.845529, 37.588476]",37.588476,55.845529,50.0,B
980, Особняк Композиторская улица 25/5с1,https://www.arendator.ru/objects/14163-kompozitorskaya_ulica_255s1/,torg_office_cntr,"г. Москва, ЦАО, Арбат, Композиторская улица 25/5с1",1171.0,"[55.7507895, 37.5845022]",37.5845022,55.7507895,50.0,
981, Офисное здание Петровский Дом,https://www.arendator.ru/objects/7146-petrovskij_dom/,torg_office_cntr,"г. Москва, САО, Аэропорт, Серегина улица 5-7",7500.0,"[55.7963877, 37.5504001]",37.5504001,55.7963877,50.0,A
982, Офисное здание на 1-м Коптельском,https://www.arendator.ru/objects/8233-na_1-m_koptelskom/,torg_office_cntr,"г. Москва, ЦАО, Красносельский, Коптельский 1-й переулок 18",798.0,"[55.7743681, 37.6384623]",37.6384623,55.7743681,50.0,C
983, Офисно-жилой комплекс Борисовская д.1,https://www.arendator.ru/objects/32545-borisovskaya_d1/,torg_office_cntr,"г. Москва, ВАО, Соколиная гора, Борисовская улица 1",5200.0,"[55.78503, 37.7360081]",37.7360081,55.78503,50.0,B+
984, Особняк Бахрушина 10,https://www.arendator.ru/objects/7451-bahrushina_10/,torg_office_cntr,"г. Москва, ЦАО, Замоскворечье, Бахрушина улица 10  стр.1",1200.0,"[55.7360558, 37.6345994]",37.6345994,55.7360558,50.0,
985, Бизнес-квартал Варшавский,https://www.arendator.ru/objects/24995-varshavskij/,torg_office_cntr,"г. Москва, ЮАО, Донской, Варшавское шоссе 129/2",22000.0,"[55.6140876, 37.6138266]",37.6138266,55.6140876,50.0,B
986, Офисное здание на Усачева 33/1,https://www.arendator.ru/objects/7259-na_usacheva_331/,torg_office_cntr,"г. Москва, ЦАО, Хамовники, Усачева улица 33 стр.1",5100.0,"[55.723201, 37.56116400000001]",37.56116400000001,55.723201,50.0,A
987, Коворкинг Ключ Арма,https://www.arendator.ru/objects/32925-klyuch_arma/,torg_office_cntr,"г. Москва, Нижний Сусальный  5с4",,"[55.759992, 37.6626081]",37.6626081,55.759992,50.0,
988, Торгово-офисный центр Черемушки (Cherry Tower),https://www.arendator.ru/objects/9315-cheremushki_cherry_tower/,torg_office_cntr,"г. Москва, ЮЗАО, Обручевский, Профсоюзная улица 56",120000.0,"[55.6701234, 37.5522421]",37.5522421,55.6701234,50.0,B+
989, Офисное здание Поликарпова 27,https://www.arendator.ru/objects/8721-polikarpova_27/,torg_office_cntr,"г. Москва, САО, Хорошевский, Поликарпова улица 27",9512.0,"[55.7812284, 37.54481639999999]",37.54481639999999,55.7812284,50.0,B
990, Офисно-жилой комплекс Усадьба Остермана,https://www.arendator.ru/objects/8752-usadba_ostermana/,torg_office_cntr,"г. Москва, Щемиловский 2-ой  4",,"[55.77679269999999, 37.6086321]",37.6086321,55.77679269999999,50.0,A
991, БЦ РТС Варшавский,https://www.arendator.ru/objects/10962-rts_varshavskij/,torg_office_cntr,"г. Москва, ЮАО, Чертаново Южное, Варшавское шоссе 148",19000.0,"[55.6007016, 37.6026127]",37.6026127,55.6007016,50.0,B
992, Офисное здание на Старопетровском,https://www.arendator.ru/objects/8160-na_staropetrovskom/,torg_office_cntr,"г. Москва, САО, Войковский, Старопетровский проезд 10 9",1635.0,"[55.824307, 37.507621]",37.507621,55.824307,50.0,B
993, БЦ Первомайский,https://www.arendator.ru/objects/9021-pervomajskij/,torg_office_cntr,"г. Москва, Первомайская Нижн. улица 43А",5000.0,"[55.791465, 37.807281]",37.807281,55.791465,50.0,B+
994, БЦ Башня 2000,https://www.arendator.ru/objects/9234-bashnya_2000/,torg_office_cntr,"г. Москва, ЗАО, Дорогомилово, Тараса Шевченко набережная 23А",60000.0,"[55.746336, 37.5460179]",37.5460179,55.746336,50.0,A
995, БЦ Tanora Place,https://www.arendator.ru/objects/9498-tanora_place/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Балакиревский переулок 19",4090.0,"[55.7786978, 37.6885691]",37.6885691,55.7786978,50.0,B
996, Офисное здание на Последнем,https://www.arendator.ru/objects/7852-na_poslednem/,torg_office_cntr,"г. Москва, ЦАО, Мещанский, Последний переулок 28",4803.0,"[55.769683, 37.630651]",37.630651,55.769683,50.0,A
997, БЦ Павелецкая Плаза,https://www.arendator.ru/objects/30304-paveleckaya_plaza/,torg_office_cntr,"г. Москва, ЦАО, Замоскворечье, Павелецкая площадь 2",110000.0,"[55.7296399, 37.636207]",37.636207,55.7296399,50.0,A
998, БЦ Letnikovskaya,https://www.arendator.ru/objects/8954-letnikovskaya/,torg_office_cntr,"г. Москва, ЮАО, Даниловский, Летниковская улица 10 стр.5",17576.0,"[55.7242538, 37.64306570000001]",37.64306570000001,55.7242538,50.0,A
999, БЦ Greendale,https://www.arendator.ru/objects/49814-greendale/,torg_office_cntr,"г. Москва, Ленинская  19с6",55500.0,"[55.6146143, 37.7863092]",37.7863092,55.6146143,50.0,A
1000, Офисное здание на Хохловском,https://www.arendator.ru/objects/7293-na_hohlovskom/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Хохловский переулок 13 стр.1",3000.0,"[55.7570571, 37.6444158]",37.6444158,55.7570571,50.0,B
1001, Офисное здание на 4-м Рощинском,https://www.arendator.ru/objects/7141-na_4-m_rocshinskom/,torg_office_cntr,"г. Москва, ЮАО, Даниловский, Рощинский 4-й проезд 20  стр.1-12",8000.0,"[55.707214, 37.6102429]",37.6102429,55.707214,50.0,B
1002, БЦ на Каланчевской,https://www.arendator.ru/objects/7487-na_kalanchevskoj-1/,torg_office_cntr,"г. Москва, ЦАО, Красносельский, Каланчевская улица вл. 13",8500.0,"[55.771261, 37.6511409]",37.6511409,55.771261,50.0,B
1003, Коворкинг Деловой. Омега Плаза,https://www.arendator.ru/objects/32804-delovoj_omega_plaza/,torg_office_cntr,"г. Москва, Ленинская  19",,"[55.6146143, 37.7863092]",37.7863092,55.6146143,50.0,
1004, БЦ Вестбридж II,https://www.arendator.ru/objects/7229-vestbridzh_ii/,torg_office_cntr,"г. Москва, САО, Сокол, Ленинградский проспект 37А  корп.14",6700.0,"[55.7972215, 37.5384007]",37.5384007,55.7972215,50.0,B+
1005, Коворкинг Work’n’Soda Менделеевская,https://www.arendator.ru/objects/49930-workrsquonrsquosoda_mendeleevskaya/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Новослободская улица 16",,"[55.7819592, 37.5991898]",37.5991898,55.7819592,50.0,
1006, БЦ Можайский,https://www.arendator.ru/objects/8949-mozhajskij/,torg_office_cntr,"г. Москва, ЗАО, Можайский, Можайское шоссе 165 стр.1",11465.0,"[55.721993, 37.444858]",37.444858,55.721993,50.0,B+
1007, Офисное здание на Семеновской набережной,https://www.arendator.ru/objects/7751-na_semenovskoj_naberezhnoj-1/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Семеновская набережная 2/1",2016.0,"[55.777766, 37.7067081]",37.7067081,55.777766,50.0,C
1008, БЦ Бородинская Панорама,https://www.arendator.ru/objects/8881-borodinskaya_panorama/,torg_office_cntr,"г. Москва, ЗАО, Дорогомилово, Бородинская 1-я улица 2А",15000.0,"[55.7479303, 37.5703933]",37.5703933,55.7479303,50.0,A
1009, Офисное здание Рождественка 17,https://www.arendator.ru/objects/7338-rozhdestvenka_17/,torg_office_cntr,"г. Москва, ЦАО, Мещанский, Рождественка улица 17",2494.0,"[55.7646734, 37.6233653]",37.6233653,55.7646734,50.0,A
1010, Торгово-офисный центр Сирень Плаза,https://www.arendator.ru/objects/7955-siren_plaza/,torg_office_cntr,"г. Москва, ВАО, Восточное Измайлово, Парковая 16-я улица 20-22",35000.0,"[55.7906703, 37.8234918]",37.8234918,55.7906703,50.0,B
1011, БЦ Балчуг Плаза,https://www.arendator.ru/objects/9419-balchug_plaza/,torg_office_cntr,"г. Москва, ЦАО, Замоскворечье, Балчуг улица 7",29713.0,"[55.7467953, 37.6262426]",37.6262426,55.7467953,50.0,B+
1012, БЦ The Time,https://www.arendator.ru/objects/8920-the_time/,torg_office_cntr,"г. Москва, САО, Аэропорт, Часовая улица 28",30000.0,"[55.81131500000001, 37.5203354]",37.5203354,55.81131500000001,50.0,B
1013, Офисное здание на Малой Сухаревской площади,https://www.arendator.ru/objects/8179-na_maloj_suharevskoj_plocshadi/,torg_office_cntr,"г. Москва, ЦАО, Мещанский, Сухаревская М. площадь 6",1000.0,"[55.7728957, 37.6290936]",37.6290936,55.7728957,50.0,B
1014, Офисное здание Офисный центр на Б. Академической д. 5 с. 1,https://www.arendator.ru/objects/35030-ofisnyj_centr_na_b_akademicheskoj_d_5_s_1/,torg_office_cntr,"г. Москва, САО, Коптево, Академическая Б. улица 5 стр 1",5000.0,"[55.818468, 37.522195]",37.522195,55.818468,50.0,B
1015, БЦ Я21,https://www.arendator.ru/objects/9246-ya21/,torg_office_cntr,"г. Москва, СВАО, Бутырский, Яблочкова улица 21 стр.3",8600.0,"[55.8193625, 37.5775189]",37.5775189,55.8193625,50.0,B+
1016, Офисное здание на Локомотивном,https://www.arendator.ru/objects/8804-na_lokomotivnom/,torg_office_cntr,"г. Москва, САО, Тимирязевский, Локомотивный проезд 19",2525.0,"[55.84424300000001, 37.573794]",37.573794,55.84424300000001,50.0,C
