,name,link,status,adress,square,coords,longitude,latitude,Класс:,rating
1298,[' Технопарк Нагатино'],https://www.arendator.ru/objects/32461-nagatino/,torg_office_cntr,"['г. Москва, ЮАО, Нагорный, Варшавское шоссе 28А']",19400.0,"[55.682846, 37.61790209999999]",37.61790209999999,55.682846,,50.0
1299,[' Бизнес-парк Гринвуд (Greenwood)'],https://www.arendator.ru/objects/26376-grinvud_greenwood/,torg_office_cntr,"['д. Путилково (Красногорский р-н, Московская обл), 69 МКАД  ']",130000.0,"[55.8463248, 37.3916562]",37.3916562,55.8463248,B+,50.0
1300,[' БЦ Garden Ring Building'],https://www.arendator.ru/objects/7426-garden_ring_building/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Краснопролетарская улица 2/4  стр.13']",3584.0,"[55.77377019999999, 37.60894589999999]",37.60894589999999,55.77377019999999,B,50.0
1301,[' БЦ Авиапарк'],https://www.arendator.ru/objects/9071-aviapark/,torg_office_cntr,"['г. Москва, САО, Аэропорт, Ленинградский проспект 68']",40000.0,"[55.80371230000001, 37.5225522]",37.5225522,55.80371230000001,B,50.0
1302,[' БЦ Путейский'],https://www.arendator.ru/objects/9453-putejskij/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Путейский тупик 6']",10500.0,"[55.761263, 37.659804]",37.659804,55.761263,A,50.0
1303,[' БЦ Нагатинский'],https://www.arendator.ru/objects/9450-nagatinskij/,torg_office_cntr,"['г. Москва, ЮАО, Нагатино-Садовники, Андропова проспект 22']",70000.0,"[55.6833129, 37.6601209]",37.6601209,55.6833129,B+,50.0
1304,[' Особняк Банный переулок 9'],https://www.arendator.ru/objects/35164-bannyj_pereulok_9/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Банный переулок 9']",12471.0,"[55.786426, 37.6390961]",37.6390961,55.786426,,50.0
1305,[' БЦ Красногорск-Плаза'],https://www.arendator.ru/objects/8344-krasnogorsk-plaza/,torg_office_cntr,"['г. Красногорск (Красногорский р-н, Московская обл), Ильинское шоссе 1а']",39611.0,"[55.81350459999999, 37.3441348]",37.3441348,55.81350459999999,B+,50.0
1306,"[' Офисное здание Пятницкая, 29']",https://www.arendator.ru/objects/8826-pyatnickaya_29/,torg_office_cntr,"['г. Москва, ЦАО, Замоскворечье, Пятницкая улица 29/8']",2706.0,"[55.7409508, 37.6288154]",37.6288154,55.7409508,A,50.0
1307,[' БЦ Алгоритм'],https://www.arendator.ru/objects/24204-algoritm-1/,torg_office_cntr,"['г. Москва, ЮЗАО, Ломоносовский, Академика Пилюгина улица 22']",46223.0,"[55.669615, 37.5318334]",37.5318334,55.669615,A,50.0
1308,[' Офисное здание Банковский особняк'],https://www.arendator.ru/objects/8433-bankovskij_osobnyak/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Садовая-Спасская улица 24']",2740.0,"[55.7691004, 37.6462154]",37.6462154,55.7691004,A,50.0
1309,[' БЦ Capital Tower'],https://www.arendator.ru/objects/9348-capital_tower/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Брестская 1-я улица 29']",15000.0,"[55.771534, 37.5910842]",37.5910842,55.771534,A,50.0
1310,[' Торгово-офисный центр Крона'],https://www.arendator.ru/objects/32467-krona-1/,torg_office_cntr,"['г. Москва, САО, Головинский, Кронштадтский бульвар 7']",15000.0,"[55.841004, 37.487512]",37.487512,55.841004,B,50.0
1311,[' БЦ Берлинский дом'],https://www.arendator.ru/objects/9423-berlinskij_dom-1/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Петровка улица 5']",12889.0,"[55.7618924, 37.6175753]",37.6175753,55.7618924,A,50.0
1312,[' Офисное здание на Автомоторной 4А'],https://www.arendator.ru/objects/8698-na_avtomotornoj_4a/,torg_office_cntr,"['г. Москва, САО, Головинский, Автомоторная улица 4А стр.21']",4870.0,"[55.850098, 37.53790499999999]",37.53790499999999,55.850098,B,50.0
1313,[' БЦ Сокол'],https://www.arendator.ru/objects/8187-sokol/,torg_office_cntr,"['г. Москва, ВАО, Гольяново, Щелковское шоссе 5']",25000.0,"[55.80457029999999, 37.7560589]",37.7560589,55.80457029999999,B,50.0
1314,[' БЦ Отрадный'],https://www.arendator.ru/objects/9113-otradnyj/,torg_office_cntr,"['г. Москва, СВАО, Отрадное, Отрадная улица 2Б стр.6']",20042.0,"[55.857794, 37.602301]",37.602301,55.857794,B,50.0
1315,[' Бизнес-квартал Красная роза'],https://www.arendator.ru/objects/9139-krasnaya_roza/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Тимура Фрунзе улица 11 корп.2']",170000.0,"[55.7337444, 37.5894276]",37.5894276,55.7337444,A,50.0
1316,[' Особняк Дубининская'],https://www.arendator.ru/objects/32157-dubininskaya/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Дубининская улица 57с3']",627.0,"[55.7205366, 37.6354128]",37.6354128,55.7205366,,50.0
1317,[' Офисное здание Особняк Дом Телешова'],https://www.arendator.ru/objects/35228-osobnyak_dom_teleshova/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Покровский бульвар 16-18Б 4-4А']",607.0,"[55.753265, 37.6463199]",37.6463199,55.753265,B+,50.0
1318,[' Офисное здание Офис на Кузнецком мосту'],https://www.arendator.ru/objects/8332-ofis_na_kuzneckom_mostu/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Кузнецкий Мост улица 7']",1050.0,"[55.7618197, 37.6194804]",37.6194804,55.7618197,B,50.0
1319,[' БЦ Naberezhnaya Tower  (Набережная Тауэр)'],https://www.arendator.ru/objects/9050-naberezhnaya_tower__naberezhnaya_tauer/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Пресненская набережная 10']",223000.0,"[55.74663320000001, 37.5363917]",37.5363917,55.74663320000001,A,50.0
1320,[' БЦ Диод'],https://www.arendator.ru/objects/9074-diod/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Дербеневская набережная 11Ас20']",5835.0,"[55.7217985, 37.6553065]",37.6553065,55.7217985,B+,50.0
1321,[' БЦ Щербаковский'],https://www.arendator.ru/objects/30287-csherbakovskij/,torg_office_cntr,"['г. Москва, ВАО, Соколиная гора, Щербаковская улица 3']",18000.0,"[55.7827411, 37.7326264]",37.7326264,55.7827411,B+,50.0
1322,[' Офисное здание на Покровском бульваре'],https://www.arendator.ru/objects/8373-na_pokrovskom_bulvare/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Покровский бульвар 4/17 1']",11231.0,"[55.7581693, 37.6458731]",37.6458731,55.7581693,B,50.0
1323,[' Технопарк Перово Поле'],https://www.arendator.ru/objects/7782-perovo_pole/,torg_office_cntr,"['г. Москва, Перова Поля 2-ой  9']",19600.0,"[55.7538873, 37.7675061]",37.7675061,55.7538873,,50.0
1324,[' Коворкинг Go Jewish Coworking'],https://www.arendator.ru/objects/32875-go_jewish_coworking/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Сретенский бульвар 6/1']",,"[55.7658075, 37.6351257]",37.6351257,55.7658075,,50.0
1325,[' БЦ Елизаветинский'],https://www.arendator.ru/objects/8230-elizavetinskij-1/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Елизаветинский переулок 12Б 1']",3990.0,"[55.7609905, 37.6709983]",37.6709983,55.7609905,B,50.0
1326,[' БЦ РТС Нагатинский'],https://www.arendator.ru/objects/8806-rts_nagatinskij/,torg_office_cntr,"['г. Москва, ЮАО, Нагатино-Садовники, Хлебозаводский проезд 7 корп.10']",32000.0,"[55.6698016, 37.6325897]",37.6325897,55.6698016,B+,50.0
1327,[' Деловой центр Шухова14'],https://www.arendator.ru/objects/8935-shuhova14/,torg_office_cntr,"['г. Москва, ЮАО, Донской, Шухова улица 14']",3500.0,"[55.7168765, 37.6131104]",37.6131104,55.7168765,B+,50.0
1328,[' БЦ Mosenka Capital Plaza'],https://www.arendator.ru/objects/9293-mosenka_capital_plaza/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Воронцовская улица 17']",4000.0,"[55.7383147, 37.6579718]",37.6579718,55.7383147,A,50.0
1329,[' БЦ Довженко 4'],https://www.arendator.ru/objects/9314-dovzhenko_4/,torg_office_cntr,"['г. Москва, ЗАО, Раменки, Довженко улица 4 корп.1']",2686.0,"[55.7225778, 37.5155194]",37.5155194,55.7225778,A,50.0
1330,[' БЦ Слободской'],https://www.arendator.ru/objects/32650-slobodskoj/,torg_office_cntr,"['г. Москва, Ленинская  26с28']",12500.0,"[55.61527299999999, 37.7867794]",37.7867794,55.61527299999999,B+,50.0
1331,[' БЦ Панорама'],https://www.arendator.ru/objects/8880-panorama-5/,torg_office_cntr,"['г. Москва, СВАО, Бутырский, Новодмитровская Б. улица 23с5']",4500.0,"[55.801589, 37.5848749]",37.5848749,55.801589,A,50.0
1332,[' БЦ Звенигородский'],https://www.arendator.ru/objects/30190-zvenigorodskij-3/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Звенигородское шоссе 18/20 корп.1']",6000.0,"[55.764492, 37.555939]",37.555939,55.764492,B+,50.0
1333,[' Коворкинг Регус Нордстар Тауэр'],https://www.arendator.ru/objects/33756-regus_nordstar_tauer/,torg_office_cntr,"['г. Москва, САО, Хорошевский, Беговая улица 3с1']",,"[55.7762813, 37.5528114]",37.5528114,55.7762813,,50.0
1334,[' Офисно-жилой комплекс Корона-Эйр'],https://www.arendator.ru/objects/7507-korona-ejr/,torg_office_cntr,"['г. Москва, ЗАО, Проспект Вернадского, Вернадского проспект влад. 90']",70000.0,"[55.6587859, 37.4810638]",37.4810638,55.6587859,B,50.0
1335,[' Торгово-офисный центр Город'],https://www.arendator.ru/objects/49535-gorod-5/,torg_office_cntr,"['г. Одинцово (Одинцовский р-н, Московская обл), г. Лесной городокБ Школьная  1']",15000.0,"[55.6331323, 37.2115116]",37.2115116,55.6331323,,50.0
1336,[' Офисное здание на Рочдельской 15'],https://www.arendator.ru/objects/8718-na_rochdelskoj_15/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Рочдельская улица 15']",10000.0,"[55.75677, 37.562618]",37.562618,55.75677,B+,50.0
1337,[' БЦ Пульман'],https://www.arendator.ru/objects/9405-pulman/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Мясницкая улица 50']",2500.0,"[55.7690321, 37.6457419]",37.6457419,55.7690321,A,50.0
1338,[' БЦ Kislovskiy 1st Line Fitness & SPA'],https://www.arendator.ru/objects/8747-kislovskiy_1st_line_fitness__spa/,torg_office_cntr,"['г. Москва, Кисловский Б. переулок 9']",6707.0,"[55.755047, 37.606144]",37.606144,55.755047,A,50.0
1339,[' Коворкинг LittleBig'],https://www.arendator.ru/objects/32928-littlebig/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Палиха улица 8с2']",,"[55.7836131, 37.5987829]",37.5987829,55.7836131,,50.0
1340,[' БЦ Звездный'],https://www.arendator.ru/objects/35003-zvezdnyj-6/,torg_office_cntr,"['г. Москва, СВАО, Останкинский, Аргуновская улица 5']",7023.0,"[55.8166191, 37.6192916]",37.6192916,55.8166191,B+,50.0
1341,[' Коворкинг Мама работает - Щукинская'],https://www.arendator.ru/objects/32904-mama_rabotaet_-_cshukinskaya/,torg_office_cntr,"['г. Москва, СЗАО, Щукино, Маршала Новикова улица 5']",,"[55.8016485, 37.4682532]",37.4682532,55.8016485,,50.0
1342,[' Офисно-складской комплекс СКИМ'],https://www.arendator.ru/objects/49896-skim/,torg_office_cntr,"['г. Москва, ЮАО, Нагатино-Садовники, Варшавское шоссе 37А']",6600.0,"[55.6894584, 37.6263188]",37.6263188,55.6894584,,50.0
1343,[' БЦ на Дмитровском'],https://www.arendator.ru/objects/9333-na_dmitrovskom/,torg_office_cntr,"['г. Москва, САО, Тимирязевский, Дмитровское шоссе 9Б']",9500.0,"[55.8144753, 37.5749878]",37.5749878,55.8144753,B+,50.0
1344,[' БЦ Silver House'],https://www.arendator.ru/objects/8968-silver_house/,torg_office_cntr,"['г. Москва, ЗАО, Раменки, Вернадского проспект 8А']",11700.0,"[55.6899011, 37.5274698]",37.5274698,55.6899011,A,50.0
1345,[' Коворкинг Циферблат Тверская'],https://www.arendator.ru/objects/32858-ciferblat_tverskaya/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Тверская улица 12с1']",,"[55.76358399999999, 37.6096939]",37.6096939,55.76358399999999,,50.0
1346,[' Торгово-офисный центр Неглинная Plaza'],https://www.arendator.ru/objects/7465-neglinnaya_plaza-1/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Неглинная улица 20/2 1-5']",56900.0,"[55.7663141, 37.6216539]",37.6216539,55.7663141,A,50.0
1347,[' БЦ Верхнемихайловский'],https://www.arendator.ru/objects/9199-verhnemihajlovskij/,torg_office_cntr,"['г. Москва, Верхний Михайловский 2-ой  9']",2770.0,"[55.7088403, 37.6019683]",37.6019683,55.7088403,B,50.0
1348,[' БЦ Z-Plaza'],https://www.arendator.ru/objects/9174-z-plaza-2/,torg_office_cntr,"['г. Москва, СВАО, Бутырский, Бутырская улица 62']",12000.0,"[55.802542, 37.5838587]",37.5838587,55.802542,B+,50.0
1349,[' Торгово-офисный центр Самолет'],https://www.arendator.ru/objects/49091-samolet-1/,torg_office_cntr,"['г. Жуковский (Московская обл), Гагарина улица 60а']",27000.0,"[55.6099517, 38.0874856]",38.0874856,55.6099517,,50.0
1350,[' Торгово-офисный центр Динамо'],https://www.arendator.ru/objects/9958-dinamo/,torg_office_cntr,"['г. Москва, САО, Аэропорт, Театральная аллея 3 корп 1']",11695.0,"[55.7933252, 37.5598243]",37.5598243,55.7933252,,50.0
1351,[' Бизнес-парк Крылатские Холмы'],https://www.arendator.ru/objects/9250-krylatskie_holmy/,torg_office_cntr,"['г. Москва, ЗАО, Крылатское, Крылатская улица 17к1']",32610.0,"[55.7505233, 37.427432]",37.427432,55.7505233,A,50.0
1352,[' БЦ Институтский'],https://www.arendator.ru/objects/9191-institutskij/,torg_office_cntr,"['г. Москва, СВАО, Марьина роща, Советской Армии улица 2 стр.1']",3500.0,"[55.78489399999999, 37.6171089]",37.6171089,55.78489399999999,B,50.0
1353,[' Офисное здание на Малом Трехсвятительском'],https://www.arendator.ru/objects/7286-na_malom_trehsvyatitelskom/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Трехсвятительский М. переулок 2/5 стр.4']",801.0,"[55.7544885, 37.6437641]",37.6437641,55.7544885,C,50.0
1354,[' БЦ Синица Плаза'],https://www.arendator.ru/objects/9148-sinica_plaza/,torg_office_cntr,"['г. Москва, ЮВАО, Лефортово, Синичкина 2-я улица 9а стр 3б стр 7']",33809.0,"[55.76102, 37.717637]",37.717637,55.76102,B+,50.0
1355,[' Офисное здание на Новинском 11а'],https://www.arendator.ru/objects/7398-na_novinskom_11a/,torg_office_cntr,"['г. Москва, Новинский переулок 11а']",1200.0,"[55.75411889999999, 37.582195]",37.582195,55.75411889999999,A,50.0
1356,[' БЦ Графит'],https://www.arendator.ru/objects/49778-grafit-1/,torg_office_cntr,"['г. Москва, ЮВАО, Нижегородский, Михайловский проезд 1']",22000.0,"[55.731488, 37.685903]",37.685903,55.731488,B,50.0
1357,[' БЦ Бастион Капитал'],https://www.arendator.ru/objects/9391-bastion_kapital/,torg_office_cntr,"['г. Москва, СВАО, Бутырский, Добролюбова проезд 3 стр.1']",14500.0,"[55.810734, 37.59358599999999]",37.59358599999999,55.810734,B+,50.0
1358,[' Торгово-офисный центр Галерея Актер'],https://www.arendator.ru/objects/8903-galereya_akter/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Тверская улица 16 стр.1']",20000.0,"[55.76460969999999, 37.6066555]",37.6066555,55.76460969999999,B,50.0
1359,[' Технопарк Элерон'],https://www.arendator.ru/objects/32487-eleron/,torg_office_cntr,"['г. Москва, ЮАО, Орехово-Борисово Северное, Генерала Белова улица 14']",77100.0,"[55.6168771, 37.7172871]",37.7172871,55.6168771,,50.0
1360,[' БЦ Святогор 4'],https://www.arendator.ru/objects/8993-svyatogor_4/,torg_office_cntr,"['г. Москва, ЦАО, Замоскворечье, Летниковская улица 10с4']",35000.0,"[55.72560499999999, 37.643144]",37.643144,55.72560499999999,A,50.0
1361,[' БЦ Гефест'],https://www.arendator.ru/objects/8918-gefest/,torg_office_cntr,"['г. Москва, САО, Дмитровский, Дмитровское шоссе 157с12']",100000.0,"[55.89848, 37.5424979]",37.5424979,55.89848,B,50.0
1362,[' БЦ Арт-Плаза'],https://www.arendator.ru/objects/9127-art-plaza/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Лужнецкая набережная 2/4 стр.4']",15371.0,"[55.715486, 37.573763]",37.573763,55.715486,B+,50.0
