,name,link,status,adress,square,coords,longitude,latitude,rating,Класс:
305,ТорговыйцентрM5home,https://roomfi.ru/torgovye-tsentry/50945-torgovyy-tsentr-m5home/,torg_cntr,"Москва, Новосходненское шоссе, 2",15000.0,"[55.92051129999999, 37.38767010000001]",37.38767010000001,55.92051129999999,50.0,Not_defined
306,ТорговыйцентрКаменныйцветок,https://roomfi.ru/torgovye-tsentry/51452-torgovyy-tsentr-kamennyy-tsvetok/,torg_cntr,"Москва, улица Народного Ополчения, 22к2",4000.0,"[55.78094240000001, 37.4844374]",37.4844374,55.78094240000001,50.0,Not_defined
307,Торгово-развлекательныйцентрАтриум,https://roomfi.ru/torgovye-tsentry/51012-torgovo-razvlekatelnyy-tsentr-atrium/,torg_cntr,"Москва, улица Земляной Вал, 33",103500.0,"[55.757231, 37.6591369]",37.6591369,55.757231,50.0,Not_defined
308,Торгово-развлекательныйцентрЖКВоробьевыгоры,https://roomfi.ru/torgovye-tsentry/51597-torgovo-razvlekatelnyy-tsentr-zhk-vorobevy-gory/,torg_cntr,"Москва, Мосфильмовская улица, 70к1",30117.0,"[55.714566, 37.5057438]",37.5057438,55.714566,50.0,Not_defined
309,ТорговыйцентрНикольскийПассаж,https://roomfi.ru/torgovye-tsentry/51340-torgovyy-tsentr-nikolskiy-passazh/,torg_cntr,"Москва, Ветошный переулок, 9",4500.0,"[55.7553634, 37.621569]",37.621569,55.7553634,50.0,Not_defined
310,Торгово-развлекательныйцентрБум,https://roomfi.ru/torgovye-tsentry/51197-torgovo-razvlekatelnyy-tsentr-bum/,torg_cntr,"Москва, Россия",31000.0,"[55.755826, 37.6172999]",37.6172999,55.755826,50.0,Not_defined
311,Торгово-развлекательныйцентрЕвроМаг,https://roomfi.ru/torgovye-tsentry/51400-torgovo-razvlekatelnyy-tsentr-evromag/,torg_cntr,"Москва, Новочеркасский бульвар, 10к1",10511.0,"[55.6458874, 37.7162421]",37.7162421,55.6458874,50.0,Not_defined
312,Торгово-офисныйцентрТульский,https://roomfi.ru/torgovye-tsentry/51549-torgovo-ofisnyy-tsentr-tulskiy/,torg_cntr,"Москва, Большая Тульская улица, 11",13500.0,"[55.71010399999999, 37.6239561]",37.6239561,55.71010399999999,50.0,Not_defined
313,ТорговыйцентрЮжный,https://roomfi.ru/torgovye-tsentry/51138-torgovyy-tsentr-yuzhnyy/,torg_cntr,"Москва, Кировоградская улица, 9к4",182000.0,"[55.631924, 37.615316]",37.615316,55.631924,50.0,Not_defined
314,ТорговыйцентрРубин,https://roomfi.ru/torgovye-tsentry/51588-torgovyy-tsentr-rubin/,torg_cntr,"Москва, Багратионовский проезд, 7к3",28000.0,"[55.7421792, 37.5016554]",37.5016554,55.7421792,50.0,Not_defined
315,Торгово-развлекательныйцентрАвиапарк,https://roomfi.ru/torgovye-tsentry/51513-torgovo-razvlekatelnyy-tsentr-aviapark/,torg_cntr,"Москва, улица Авиаконструктора Микояна, 10",463000.0,"[55.79147469999999, 37.5267825]",37.5267825,55.79147469999999,50.0,Not_defined
316,ТорговыйцентрЗвездочканатаганке,https://roomfi.ru/torgovye-tsentry/51401-torgovyy-tsentr-zvezdochka-na-taganke/,torg_cntr,"Москва, Таганская площадь",6000.0,"[55.7407194, 37.6539811]",37.6539811,55.7407194,50.0,Not_defined
317,ТорговыйцентрФеникс,https://roomfi.ru/torgovye-tsentry/51295-torgovyy-tsentr-feniks/,torg_cntr,"Москва, Лермонтовский проспект, 19к2",10500.0,"[55.7045509, 37.8450599]",37.8450599,55.7045509,50.0,Not_defined
318,Торгово-развлекательныйцентрМозаика,https://roomfi.ru/torgovye-tsentry/51539-torgovo-razvlekatelnyy-tsentr-mozaika/,torg_cntr,"Москва, 7-я Кожуховская улица, 7",134000.0,"[55.7096734, 37.6706699]",37.6706699,55.7096734,50.0,Not_defined
319,ТорговыйцентрТриКита,https://roomfi.ru/torgovye-tsentry/51318-torgovyy-tsentr-tri-kita/,torg_cntr,"Москва, Можайское шоссе",90000.0,"[55.7185548, 37.4175429]",37.4175429,55.7185548,50.0,Not_defined
320,ТорговыйцентрМегамаркетКухниПарк,https://roomfi.ru/torgovye-tsentry/51209-torgovyy-tsentr-megamarket-kukhnipark/,torg_cntr,"Москва, МКАД, 71-й километр, с16",8000.0,"[55.8605369, 37.3973507]",37.3973507,55.8605369,50.0,Not_defined
321,Торговыйцентр12месяцев,https://roomfi.ru/torgovye-tsentry/51279-torgovyy-tsentr-12-mesyatsev/,torg_cntr,"Москва, улица Маршала Василевского, 17",34375.0,"[55.80886899999999, 37.462318]",37.462318,55.80886899999999,50.0,Not_defined
322,ТорговыйцентрПланетаДетства,https://roomfi.ru/torgovye-tsentry/51572-torgovyy-tsentr-planeta-detstva/,torg_cntr,"Москва, улица Андреевка",2100.0,"[55.977087, 37.1488249]",37.1488249,55.977087,50.0,Not_defined
323,ТорговыйцентрЯсенево,https://roomfi.ru/torgovye-tsentry/51073-torgovyy-tsentr-yasenevo/,torg_cntr,"Москва, Литовский бульвар, 22",12500.0,"[55.6119631, 37.5375431]",37.5375431,55.6119631,50.0,Not_defined
324,ТорговыйцентрМетромаркет,https://roomfi.ru/torgovye-tsentry/51252-torgovyy-tsentr-metromarket/,torg_cntr,"Москва, улица Шаболовка, 10к2",10000.0,"[55.7233215, 37.6102786]",37.6102786,55.7233215,50.0,Not_defined
